exporter_name,exporter_address,exporter_city,exporter_state,exporter_country,exporterLAT,exporterLONG,hazWasteDesc,extra,totalQuantityinShipment,,units,ExpectedManagementMethod,receivingfacilityzipcode,ReceivingFacilityEPAIDNumber,importer_name,importer_address,importer_city,importer_state,latitude,longitude
CLEAN HARBORS CANADA INC - MISSISSAUGA,551 AVONHEAD ROAD,MISSISSAUGA,ONTARIO,CANADA,43.4981155,-79.6266479,batteries,WASTE PAINT,800,800,K - Kilograms,H040,71730,ARD069748192,CLEAN HARBORS EL DORADO LLC,309 AMERICAN CIRCLE,EL DORADO,AR,33.2065288,-92.6290289
CLEAN HARBORS CANADA INC - MISSISSAUGA,551 AVONHEAD ROAD,MISSISSAUGA,ONTARIO,CANADA,43.4981155,-79.6266479,batteries,WASTE PAINT,200,200,K - Kilograms,H040,71730,ARD069748192,CLEAN HARBORS EL DORADO LLC,309 AMERICAN CIRCLE,EL DORADO,AR,33.2065288,-92.6290289
CLEAN HARBORS CANADA INC - MISSISSAUGA,551 AVONHEAD ROAD,MISSISSAUGA,ONTARIO,CANADA,43.4981155,-79.6266479,batteries,WASTE PAINT,300,300,K - Kilograms,H040,71730,ARD069748192,CLEAN HARBORS EL DORADO LLC,309 AMERICAN CIRCLE,EL DORADO,AR,33.2065288,-92.6290289
CLEAN HARBORS CANADA INC - MISSISSAUGA,551 AVONHEAD ROAD,MISSISSAUGA,ONTARIO,CANADA,43.4981155,-79.6266479,batteries,"WASTE FLAMMABLE LIQUIDS, NOS (PAINT/RESIN/SOLVENT)",5400,5400,L - Liters (liquids only),H040,71730,ARD069748192,CLEAN HARBORS EL DORADO LLC,309 AMERICAN CIRCLE,EL DORADO,AR,33.2065288,-92.6290289
CLEAN HARBORS CANADA INC - MISSISSAUGA,551 AVONHEAD ROAD,MISSISSAUGA,ONTARIO,CANADA,43.4981155,-79.6266479,batteries,"WASTE SOLIDS CONTAINING FLAMMBLE LIQUID, NOS (ACETONE PAINT GLASS BOTTLES)",400,400,K - Kilograms,H040,71730,ARD069748192,CLEAN HARBORS EL DORADO LLC,309 AMERICAN CIRCLE,EL DORADO,AR,33.2065288,-92.6290289
CLEAN HARBORS CANADA INC - MISSISSAUGA,551 AVONHEAD ROAD,MISSISSAUGA,ONTARIO,CANADA,43.4981155,-79.6266479,batteries,"WASTE FLAMMABLE LIQUIDS, NOS (PAINT, POLISHES, GLUES)",500,500,L - Liters (liquids only),H040,71730,ARD069748192,CLEAN HARBORS EL DORADO LLC,309 AMERICAN CIRCLE,EL DORADO,AR,33.2065288,-92.6290289
CLEAN HARBORS CANADA INC - MISSISSAUGA,551 AVONHEAD ROAD,MISSISSAUGA,ONTARIO,CANADA,43.4981155,-79.6266479,batteries,"WASTE SOLIDS CONTAINING FLAMMABLE LIQUIDS, NOS (ACTONE/PAINT/GLASS BOTTLES)",300,300,K - Kilograms,H040,71730,ARD069748192,CLEAN HARBORS EL DORADO LLC,309 AMERICAN CIRCLE,EL DORADO,AR,33.2065288,-92.6290289
CLEAN HARBORS CANADA INC - MISSISSAUGA,551 AVONHEAD ROAD,MISSISSAUGA,ONTARIO,CANADA,43.4981155,-79.6266479,batteries,"WASTE FLAMMABLE SOLIDS, ORGANIC, NOS (PETROLEUM DISTALLATES, PAINT)",1440,1440,K - Kilograms,H040,71730,ARD069748192,CLEAN HARBORS EL DORADO LLC,309 AMERICAN CIRCLE,EL DORADO,AR,33.2065288,-92.6290289
CLEAN HARBORS CANADA INC - MISSISSAUGA,551 AVONHEAD ROAD,MISSISSAUGA,ONTARIO,CANADA,43.4981155,-79.6266479,batteries,"WASTE FLAMMABLE SOLIDS, ORGANIC, NOS (PETROLEUM DISTALLATES, PAINT SLUDGE)",16800,16800,K - Kilograms,H040,71730,ARD069748192,CLEAN HARBORS EL DORADO LLC,309 AMERICAN CIRCLE,EL DORADO,AR,33.2065288,-92.6290289
CLEAN HARBORS CANADA INC - MISSISSAUGA,551 AVONHEAD ROAD,MISSISSAUGA,ONTARIO,CANADA,43.4981155,-79.6266479,batteries,"WASTE FLAMMABLE LIQUID, TOXIC NOS (PAINT SLUDGE)",300,300,L - Liters (liquids only),H040,71730,ARD069748192,CLEAN HARBORS EL DORADO LLC,309 AMERICAN CIRCLE,EL DORADO,AR,33.2065288,-92.6290289
CLEAN HARBORS CANADA INC - MISSISSAUGA,551 AVONHEAD ROAD,MISSISSAUGA,ONTARIO,CANADA,43.4981155,-79.6266479,batteries,"WASTE TOXIC LIQUID, ORGANIC NOS (DICHLOROMETHANE, PAINT)",2000,2000,L - Liters (liquids only),H040,71730,ARD069748192,CLEAN HARBORS EL DORADO LLC,309 AMERICAN CIRCLE,EL DORADO,AR,33.2065288,-92.6290289
CLEAN HARBORS CANADA INC - MISSISSAUGA,551 AVONHEAD ROAD,MISSISSAUGA,ONTARIO,CANADA,43.4981155,-79.6266479,batteries,"WASTE FLAMMABLE SOLID, ORGANIC, NOS (PETROLEUM DISTALLATES, PAINT)",2000,2000,K - Kilograms,H040,71730,ARD069748192,CLEAN HARBORS EL DORADO LLC,309 AMERICAN CIRCLE,EL DORADO,AR,33.2065288,-92.6290289
CLEAN HARBORS CANADA INC - MISSISSAUGA,551 AVONHEAD ROAD,MISSISSAUGA,ONTARIO,CANADA,43.4981155,-79.6266479,batteries,"WASTE FLAMMABLE SOLID, ORGANIC, NOS (PETROLEUM DISTILLATES, PAINT SLUDGE)",15200,15200,K - Kilograms,H040,71730,ARD069748192,CLEAN HARBORS EL DORADO LLC,309 AMERICAN CIRCLE,EL DORADO,AR,33.2065288,-92.6290289
CLEAN HARBORS CANADA INC - MISSISSAUGA,551 AVONHEAD ROAD,MISSISSAUGA,ONTARIO,CANADA,43.4981155,-79.6266479,toluene,"WASTE FLAMMABLE LIQUID, NOS (PAINT, GLUE, POLISH)",1000,1000,L - Liters (liquids only),H040,71730,ARD069748192,CLEAN HARBORS EL DORADO LLC,309 AMERICAN CIRCLE,EL DORADO,AR,33.2065288,-92.6290289
CLEAN HARBORS CANADA INC - MISSISSAUGA,551 AVONHEAD ROAD,MISSISSAUGA,ONTARIO,CANADA,43.4981155,-79.6266479,toluene,"WASTE FLAMMABLE SOLID, ORGAINIC, NOS (PETROLEUM DISTILLATES/PAINT SLUDGE)",19200,19200,K - Kilograms,H040,71730,ARD069748192,CLEAN HARBORS EL DORADO LLC,309 AMERICAN CIRCLE,EL DORADO,AR,33.2065288,-92.6290289
CLEAN HARBORS CANADA INC - MISSISSAUGA,551 AVONHEAD ROAD,MISSISSAUGA,ONTARIO,CANADA,43.4981155,-79.6266479,toluene,WASTE PAINT,1400,1400,K - Kilograms,,71730,ARD069748192,CLEAN HARBORS EL DORADO LLC,309 AMERICAN CIRCLE,EL DORADO,AR,33.2065288,-92.6290289
CLEAN HARBORS CANADA INC - MISSISSAUGA,551 AVONHEAD ROAD,MISSISSAUGA,ONTARIO,CANADA,43.4981155,-79.6266479,toluene,WASTE PAINT,40,40,K - Kilograms,,71730,ARD069748192,CLEAN HARBORS EL DORADO LLC,309 AMERICAN CIRCLE,EL DORADO,AR,33.2065288,-92.6290289
CLEAN HARBORS CANADA INC - MISSISSAUGA,551 AVONHEAD ROAD,MISSISSAUGA,ONTARIO,CANADA,43.4981155,-79.6266479,toluene,WASTE PAINT,1400,1400,K - Kilograms,,71730,ARD069748192,CLEAN HARBORS EL DORADO LLC,309 AMERICAN CIRCLE,EL DORADO,AR,33.2065288,-92.6290289
CLEAN HARBORS CANADA INC - MISSISSAUGA,551 AVONHEAD ROAD,MISSISSAUGA,ONTARIO,CANADA,43.4981155,-79.6266479,toluene,"WASTE FLAMMABLE SOLID, ORGANIC, NOS (PETROLEUM DISTILLATES/PAINT SLUDGE)",2400,2400,K - Kilograms,,71730,ARD069748192,CLEAN HARBORS EL DORADO LLC,309 AMERICAN CIRCLE,EL DORADO,AR,33.2065288,-92.6290289
CLEAN HARBORS CANADA INC - MISSISSAUGA,551 AVONHEAD ROAD,MISSISSAUGA,ONTARIO,CANADA,43.4981155,-79.6266479,toluene,"WASTE FLAMMABLE SOLID, ORGANIC NOS (PAINT SLUDGE)",10200,10200,K - Kilograms,,71730,ARD069748192,CLEAN HARBORS EL DORADO LLC,309 AMERICAN CIRCLE,EL DORADO,AR,33.2065288,-92.6290289
CLEAN HARBORS CANADA INC - MISSISSAUGA,551 AVONHEAD ROAD,MISSISSAUGA,ONTARIO,CANADA,43.4981155,-79.6266479,toluene,WASTE PAINT,400,400,K - Kilograms,H040,71730,ARD069748192,CLEAN HARBORS EL DORADO LLC,309 AMERICAN CIRCLE,EL DORADO,AR,33.2065288,-92.6290289
CLEAN HARBORS CANADA INC - MISSISSAUGA,551 AVONHEAD ROAD,MISSISSAUGA,ONTARIO,CANADA,43.4981155,-79.6266479,toluene,"WASTE SOLID CONTAINING FLAMMABLE LIQUIDS, NOS (RAGS CONTAMINATED W/ PAINT/SOLIDS)",6800,6800,K - Kilograms,,71730,ARD069748192,CLEAN HARBORS EL DORADO LLC,309 AMERICAN CIRCLE,EL DORADO,AR,33.2065288,-92.6290289
CLEAN HARBORS CANADA INC - MISSISSAUGA,551 AVONHEAD ROAD,MISSISSAUGA,ONTARIO,CANADA,43.4981155,-79.6266479,toluene,"WASTE ENVIRONMENTALLY HAZARDOUS SUBSTANCE, SOLID, NOS (PAINT, XYLENE)",200,200,K - Kilograms,,71730,ARD069748192,CLEAN HARBORS EL DORADO LLC,309 AMERICAN CIRCLE,EL DORADO,AR,33.2065288,-92.6290289
CLEAN HARBORS CANADA INC - MISSISSAUGA,551 AVONHEAD ROAD,MISSISSAUGA,ONTARIO,CANADA,43.4981155,-79.6266479,toluene,WASTE PAINT,200,200,K - Kilograms,H040,71730,ARD069748192,CLEAN HARBORS EL DORADO LLC,309 AMERICAN CIRCLE,EL DORADO,AR,33.2065288,-92.6290289
CLEAN HARBORS CANADA INC - MISSISSAUGA,551 AVONHEAD ROAD,MISSISSAUGA,ONTARIO,CANADA,43.4981155,-79.6266479,toluene,WASTE PAINT,600,600,K - Kilograms,H040,71730,ARD069748192,CLEAN HARBORS EL DORADO LLC,309 AMERICAN CIRCLE,EL DORADO,AR,33.2065288,-92.6290289
CLEAN HARBORS CANADA INC - MISSISSAUGA,551 AVONHEAD ROAD,MISSISSAUGA,ONTARIO,CANADA,43.4981155,-79.6266479,toluene,WASTE PAINT,200,200,K - Kilograms,,71730,ARD069748192,CLEAN HARBORS EL DORADO LLC,309 AMERICAN CIRCLE,EL DORADO,AR,33.2065288,-92.6290289
CLEAN HARBORS CANADA INC - MISSISSAUGA,551 AVONHEAD ROAD,MISSISSAUGA,ONTARIO,CANADA,43.4981155,-79.6266479,toluene,"GLUES, PAINTS AND POLISHES",150,150,K - Kilograms,H040,71730,ARD069748192,CLEAN HARBORS EL DORADO LLC,309 AMERICAN CIRCLE,EL DORADO,AR,33.2065288,-92.6290289
CLEAN HARBORS CANADA INC - MISSISSAUGA,551 AVONHEAD ROAD,MISSISSAUGA,ONTARIO,CANADA,43.4981155,-79.6266479,toluene,"PAINTS, POLISHES, GLUE",300,300,K - Kilograms,H040,71730,ARD069748192,CLEAN HARBORS EL DORADO LLC,309 AMERICAN CIRCLE,EL DORADO,AR,33.2065288,-92.6290289
CLEAN HARBORS CANADA INC.,1829 ALLANPORT ROAD,THOROLD,ONTARIO,CANADA,43.0593681,-79.1992264,toluene,"WASTE FLAMMABLE SOLID, ORGANIC, NOS (PETROLEUM DISTILLATES/PAINT SLUDGE)",17400,17400,K - Kilograms,H040,77571,TXD055141378,CLEAN HARBORS DEER PARK LP,2027 BATTLEGROUND ROAD,LA PORTE,TX,29.6941654,-95.0923502
CLEAN HARBORS CANADA INC.,1829 ALLANPORT ROAD,THOROLD,ONTARIO,CANADA,43.0593681,-79.1992264,toluene,"WASTE FLAMMABLE SOLID, ORGANIC, NOS (PETROLEUM DISTILLATES/PAINT SLUDGE)",200,200,K - Kilograms,H040,77571,TXD055141378,CLEAN HARBORS DEER PARK LP,2027 BATTLEGROUND ROAD,LA PORTE,TX,29.6941654,-95.0923502
CLEAN HARBORS CANADA INC.,1829 ALLANPORT ROAD,THOROLD,ONTARIO,CANADA,43.0593681,-79.1992264,toluene,"WASTE SOLIDS CONTAINING FLAMMABLE LIQUIDS, NOS (RAGS CONTAMINATED WITH PAINT/SOLVENTS)",13195,13195,K - Kilograms,,71730,ARD069748192,CLEAN HARBORS EL DORADO LLC,309 AMERICAN CIRCLE,EL DORADO,AR,33.2065288,-92.6290289
CLEAN HARBORS CANADA INC.,1829 ALLANPORT ROAD,THOROLD,ONTARIO,CANADA,43.0593681,-79.1992264,toluene,"WASTE SOLIDS CONTAINING FLAMMABLE LIQUIDS, NOS (RAGS CONTAIMINATED WITH PAINT/SOLVENTS)",200,200,K - Kilograms,,71730,ARD069748192,CLEAN HARBORS EL DORADO LLC,309 AMERICAN CIRCLE,EL DORADO,AR,33.2065288,-92.6290289
CLEAN HARBORS QUEBEC INC.,6785 ROAD 132,STE. CATHERINE,QUEBEC,CANADA,45.3951378,-73.5970154,toluene,PAINT,145,145,P - Pounds,H040,71730,ARD069748192,CLEAN HARBORS EL DORADO LLC,309 AMERICAN CIRCLE,EL DORADO,AR,33.2065288,-92.6290289
FORD MOTOR COMPANY - OAKVILLE,THE CANADIAN ROAD,OAKVILLE,ONTARIO,CANADA,43.4832687,-79.672081,toluene,WASTE PAINT RELATED MATERIAL,28000,28000,L - Liters (liquids only),H020,48220,MID005338801,GAGE PRODUCTS,625 WANDA STREET,FERNDALE,MI,42.451691,-83.114326
FORD MOTOR COMPANY - OAKVILLE,THE CANADIAN ROAD,OAKVILLE,ONTARIO,CANADA,43.4832687,-79.672081,toluene,WASTE PAINT,28000,28000,,H020,48220,MID005338801,GAGE PRODUCTS,625 WANDA STREET,FERNDALE,MI,42.451691,-83.114326
FORD MOTOR COMPANY - OAKVILLE,THE CANADIAN ROAD,OAKVILLE,ONTARIO,CANADA,43.4832687,-79.672081,toluene,WASTE PAINT RELATED MATERIAL,28000,28000,L - Liters (liquids only),H020,48220,MID005338801,GAGE PRODUCTS,625 WANDA STREET,FERNDALE,MI,42.451691,-83.114326
FORD MOTOR COMPANY - OAKVILLE,THE CANADIAN ROAD,OAKVILLE,ONTARIO,CANADA,43.4832687,-79.672081,toluene,WASTE PAINT RELATED MATERIAL,32230,32230,L - Liters (liquids only),H020,48220,MID005338801,GAGE PRODUCTS,625 WANDA STREET,FERNDALE,MI,42.451691,-83.114326
FORD MOTOR COMPANY - OAKVILLE,THE CANADIAN ROAD,OAKVILLE,ONTARIO,CANADA,43.4832687,-79.672081,toluene,WASTE PAINT RELATED MATERIAL (D001),2600,2600,L - Liters (liquids only),H020,48220,MID005338801,GAGE PRODUCTS,625 WANDA STREET,FERNDALE,MI,42.451691,-83.114326
FORD MOTOR COMPANY - OAKVILLE,THE CANADIAN ROAD,OAKVILLE,ONTARIO,CANADA,43.4832687,-79.672081,toluene,WASTE PAINT RELATED MATERIAL (D001),28000,28000,L - Liters (liquids only),H020,48220,MID005338801,GAGE PRODUCTS,625 WANDA STREET,FERNDALE,MI,42.451691,-83.114326
FORD MOTOR COMPANY - OAKVILLE,THE CANADIAN ROAD,OAKVILLE,ONTARIO,CANADA,43.4832687,-79.672081,toluene,WASTE PAINT REALATED MATERIAL (D001),30000,30000,L - Liters (liquids only),H020,48220,MID005338801,GAGE PRODUCTS,625 WANDA STREET,FERNDALE,MI,42.451691,-83.114326
FORD MOTOR COMPANY - OAKVILLE,THE CANADIAN ROAD,OAKVILLE,ONTARIO,CANADA,43.4832687,-79.672081,toluene,WASTE PAINT REALATED MATERIAL (D001),28000,28000,L - Liters (liquids only),H020,48220,MID005338801,GAGE PRODUCTS,625 WANDA STREET,FERNDALE,MI,42.451691,-83.114326
FORD MOTOR COMPANY - OAKVILLE,THE CANADIAN ROAD,OAKVILLE,ONTARIO,CANADA,43.4832687,-79.672081,toluene,WASTE PAINT REALATED MATERIAL (D001),30000,30000,L - Liters (liquids only),H020,48220,MID005338801,GAGE PRODUCTS,625 WANDA STREET,FERNDALE,MI,42.451691,-83.114326
FORD MOTOR COMPANY - OAKVILLE,THE CANADIAN ROAD,OAKVILLE,ONTARIO,CANADA,43.4832687,-79.672081,toluene,WASTE PAINT REALATED MATERIAL (D001),27842,27842,L - Liters (liquids only),H020,48220,MID005338801,GAGE PRODUCTS,625 WANDA STREET,FERNDALE,MI,42.451691,-83.114326
FORD MOTOR COMPANY - OAKVILLE,THE CANADIAN ROAD,OAKVILLE,ONTARIO,CANADA,43.4832687,-79.672081,toluene,WASTE PAINT REALATED MATERIAL (D001),28000,28000,L - Liters (liquids only),H020,48220,MID005338801,GAGE PRODUCTS,625 WANDA STREET,FERNDALE,MI,42.451691,-83.114326
FORD MOTOR COMPANY - OAKVILLE,THE CANADIAN ROAD,OAKVILLE,ONTARIO,CANADA,43.4832687,-79.672081,toluene,WASTE PAINT REALATED MATERIAL (D001),26000,26000,K - Kilograms,H020,48220,MID005338801,GAGE PRODUCTS,625 WANDA STREET,FERNDALE,MI,42.451691,-83.114326
FORD MOTOR COMPANY - OAKVILLE,THE CANADIAN ROAD,OAKVILLE,ONTARIO,CANADA,43.4832687,-79.672081,toluene,WASTE PAINT REALATED MATERIAL (D001),28000,28000,L - Liters (liquids only),H020,48220,MID005338801,GAGE PRODUCTS,625 WANDA STREET,FERNDALE,MI,42.451691,-83.114326
FORD MOTOR COMPANY - OAKVILLE,THE CANADIAN ROAD,OAKVILLE,ONTARIO,CANADA,43.4832687,-79.672081,toluene,WASTE PAINT,26000,26000,L - Liters (liquids only),H020,48220,MID005338801,GAGE PRODUCTS,625 WANDA STREET,FERNDALE,MI,42.451691,-83.114326
FORD MOTOR COMPANY - OAKVILLE,THE CANADIAN ROAD,OAKVILLE,ONTARIO,CANADA,43.4832687,-79.672081,toluene,WASTE PAINT,26000,26000,L - Liters (liquids only),H020,48220,MID005338801,GAGE PRODUCTS,625 WANDA STREET,FERNDALE,MI,42.451691,-83.114326
FORD MOTOR COMPANY - OAKVILLE,THE CANADIAN ROAD,OAKVILLE,ONTARIO,CANADA,43.4832687,-79.672081,toluene,WASTE PAINT,28000,28000,L - Liters (liquids only),H020,48220,MID005338801,GAGE PRODUCTS,625 WANDA STREET,FERNDALE,MI,42.451691,-83.114326
FORD MOTOR COMPANY - OAKVILLE,THE CANADIAN ROAD,OAKVILLE,ONTARIO,CANADA,43.4832687,-79.672081,toluene,WASTE PAINT,28000,28000,L - Liters (liquids only),H020,48220,MID005338801,GAGE PRODUCTS,625 WANDA STREET,FERNDALE,MI,42.451691,-83.114326
FORD MOTOR COMPANY OF CANADA LTD,BOX 2005,ST. THOMAS,ONTARIO,CANADA,45.5862274,-81.8649597,toluene,WASTE PAINT RELATED MATERIAL,7398,7398,L - Liters (liquids only),H020,48220,MID005338801,GAGE PRODUCTS,625 WANDA STREET,FERNDALE,MI,42.451691,-83.114326
FORD MOTOR COMPANY OF CANADA LTD,BOX 2005,ST. THOMAS,ONTARIO,CANADA,45.5862274,-81.8649597,toluene,WASTE PAINT RELATED MATERIAL,28000,28000,L - Liters (liquids only),H020,48220,MID005338801,GAGE PRODUCTS,625 WANDA STREET,FERNDALE,MI,42.451691,-83.114326
FORD MOTOR COMPANY OF CANADA LTD,BOX 2005,ST. THOMAS,ONTARIO,CANADA,45.5862274,-81.8649597,toluene,WASTE PAINT RELATED MATERIAL,28000,28000,L - Liters (liquids only),H020,48220,MID005338801,GAGE PRODUCTS,625 WANDA STREET,FERNDALE,MI,42.451691,-83.114326
FORD MOTOR COMPANY OF CANADA LTD,BOX 2005,ST. THOMAS,ONTARIO,CANADA,45.5862274,-81.8649597,toluene,WASTE PAINT RELATED MATERIAL,28000,28000,L - Liters (liquids only),H020,48220,MID005338801,GAGE PRODUCTS,625 WANDA STREET,FERNDALE,MI,42.451691,-83.114326
FORD MOTOR COMPANY OF CANADA LTD,BOX 2005,ST. THOMAS,ONTARIO,CANADA,45.5862274,-81.8649597,toluene,WASTE PAINT RELATED MATERIAL,28000,28000,L - Liters (liquids only),H020,48220,MID005338801,GAGE PRODUCTS,625 WANDA STREET,FERNDALE,MI,42.451691,-83.114326
FORD MOTOR COMPANY OF CANADA LTD,BOX 2005,ST. THOMAS,ONTARIO,CANADA,45.5862274,-81.8649597,toluene,WASTE PAINT RELATED MATERIAL,28000,28000,L - Liters (liquids only),H020,48220,MID005338801,GAGE PRODUCTS,625 WANDA STREET,FERNDALE,MI,42.451691,-83.114326
FORD MOTOR COMPANY OF CANADA LTD,BOX 2005,ST. THOMAS,ONTARIO,CANADA,45.5862274,-81.8649597,toluene,WASTE PAINT RELATED MATERIAL,7398,7398,L - Liters (liquids only),H020,48220,MID005338801,GAGE PRODUCTS,625 WANDA STREET,FERNDALE,MI,42.451691,-83.114326
FORD MOTOR COMPANY OF CANADA LTD,BOX 2005,ST. THOMAS,ONTARIO,CANADA,45.5862274,-81.8649597,toluene,WASTE PAINT RELATED MATERIAL,28000,28000,L - Liters (liquids only),H020,48220,MID005338801,GAGE PRODUCTS,625 WANDA STREET,FERNDALE,MI,42.451691,-83.114326
FORD MOTOR COMPANY OF CANADA LTD,BOX 2005,ST. THOMAS,ONTARIO,CANADA,45.5862274,-81.8649597,toluene,WASTE PAINT RELATED MATERIAL,28000,28000,L - Liters (liquids only),H020,48220,MID005338801,GAGE PRODUCTS,625 WANDA STREET,FERNDALE,MI,42.451691,-83.114326
FORD MOTOR COMPANY OF CANADA LTD,BOX 2005,ST. THOMAS,ONTARIO,CANADA,45.5862274,-81.8649597,toluene,WASTE PAINT RELATED MATERIAL,28000,28000,L - Liters (liquids only),H020,48220,MID005338801,GAGE PRODUCTS,625 WANDA STREET,FERNDALE,MI,42.451691,-83.114326
FORD MOTOR COMPANY OF CANADA LTD,BOX 2005,ST. THOMAS,ONTARIO,CANADA,45.5862274,-81.8649597,toluene,WASTE PAINT RELATED MATERIAL,28000,28000,L - Liters (liquids only),H020,48220,MID005338801,GAGE PRODUCTS,625 WANDA STREET,FERNDALE,MI,42.451691,-83.114326
FORD MOTOR COMPANY OF CANADA LTD,BOX 2005,ST. THOMAS,ONTARIO,CANADA,45.5862274,-81.8649597,toluene,WASTE PAINT RELATED MATERIAL,28000,28000,L - Liters (liquids only),H020,48220,MID005338801,GAGE PRODUCTS,625 WANDA STREET,FERNDALE,MI,42.451691,-83.114326
FORD MOTOR COMPANY OF CANADA LTD,BOX 2005,ST. THOMAS,ONTARIO,CANADA,45.5862274,-81.8649597,toluene,WASTE PAINT RELATED MATERIAL,28000,28000,L - Liters (liquids only),H020,48220,MID005338801,GAGE PRODUCTS,625 WANDA STREET,FERNDALE,MI,42.451691,-83.114326
FORD MOTOR COMPANY OF CANADA LTD,BOX 2005,ST. THOMAS,ONTARIO,CANADA,45.5862274,-81.8649597,toluene,WASTE PAINT RELATED MATERIAL,2800,2800,L - Liters (liquids only),H020,48220,MID005338801,GAGE PRODUCTS,625 WANDA STREET,FERNDALE,MI,42.451691,-83.114326
FORD MOTOR COMPANY OF CANADA LTD,BOX 2005,ST. THOMAS,ONTARIO,CANADA,45.5862274,-81.8649597,toluene,WASTE PAINT RELATED MATERIAL,28000,28000,L - Liters (liquids only),H020,48220,MID005338801,GAGE PRODUCTS,625 WANDA STREET,FERNDALE,MI,42.451691,-83.114326
FORD MOTOR COMPANY OF CANADA LTD,BOX 2005,ST. THOMAS,ONTARIO,CANADA,45.5862274,-81.8649597,toluene,WASTE PAINT RELATED MATERIAL,28000,28000,L - Liters (liquids only),H020,48220,MID005338801,GAGE PRODUCTS,625 WANDA STREET,FERNDALE,MI,42.451691,-83.114326
FORD MOTOR COMPANY OF CANADA LTD,BOX 2005,ST. THOMAS,ONTARIO,CANADA,45.5862274,-81.8649597,toluene,WASTE PAINT RELATED MATERIAL,28000,28000,L - Liters (liquids only),H020,48220,MID005338801,GAGE PRODUCTS,625 WANDA STREET,FERNDALE,MI,42.451691,-83.114326
FORD MOTOR COMPANY OF CANADA LTD,BOX 2005,ST. THOMAS,ONTARIO,CANADA,45.5862274,-81.8649597,toluene,WASTE PAINT RELATED MATERIAL,26000,26000,L - Liters (liquids only),H020,48220,MID005338801,GAGE PRODUCTS,625 WANDA STREET,FERNDALE,MI,42.451691,-83.114326
FORD MOTOR COMPANY OF CANADA LTD,BOX 2005,ST. THOMAS,ONTARIO,CANADA,45.5862274,-81.8649597,toluene,WASTE PAINT RELATED MATERIAL,28000,28000,L - Liters (liquids only),H020,48220,MID005338801,GAGE PRODUCTS,625 WANDA STREET,FERNDALE,MI,42.451691,-83.114326
FORD MOTOR COMPANY OF CANADA LTD,BOX 2005,ST. THOMAS,ONTARIO,CANADA,45.5862274,-81.8649597,toluene,WASTE PAINT RELATED MATERIAL,28000,28000,L - Liters (liquids only),H020,48220,MID005338801,GAGE PRODUCTS,625 WANDA STREET,FERNDALE,MI,42.451691,-83.114326
FORD MOTOR COMPANY OF CANADA LTD,BOX 2005,ST. THOMAS,ONTARIO,CANADA,45.5862274,-81.8649597,toluene,WASTE PAINT REALATED MATERIAL (D001),27000,27000,L - Liters (liquids only),H020,48220,MID005338801,GAGE PRODUCTS,625 WANDA STREET,FERNDALE,MI,42.451691,-83.114326
FORD MOTOR COMPANY OF CANADA LTD,BOX 2005,ST. THOMAS,ONTARIO,CANADA,45.5862274,-81.8649597,toluene,WASTE PAINT,26000,26000,L - Liters (liquids only),H020,48220,MID005338801,GAGE PRODUCTS,625 WANDA STREET,FERNDALE,MI,42.451691,-83.114326
FORD MOTOR COMPANY OF CANADA LTD,BOX 2005,ST. THOMAS,ONTARIO,CANADA,45.5862274,-81.8649597,toluene,WASTE PAINT,26000,26000,L - Liters (liquids only),H020,48220,MID005338801,GAGE PRODUCTS,625 WANDA STREET,FERNDALE,MI,42.451691,-83.114326
HOTZ ENVIRONMENTAL SERVICES INC.,239 LOTTRIDGE ST.,HAMILTON,ONTARIO,CANADA,43.2580109,-79.8313065,toluene,"WASTE FLAMMABLE LIQUID, TOXIC, NOS (CONTAINS PAINT, SOLVENT)",6076,6076,G - Gallons (liquids only),H061,45879,OHD005048947,SYSTECH CORP.,RR#2 11397 COUNTRY RD. 176,PAULDING,OH,41.1794467,-84.6049518
HOTZ ENVIRONMENTAL SERVICES INC.,239 LOTTRIDGE ST.,HAMILTON,ONTARIO,CANADA,43.2580109,-79.8313065,toluene,"WASTE FLAMMABLE LIQUID, TOXIC, NOS (CONTAINS PAINT, SOLVENT)",5058,5058,G - Gallons (liquids only),H061,45879,OHD005048947,SYSTECH CORP.,RR#2 11397 COUNTRY RD. 176,PAULDING,OH,41.1794467,-84.6049518
HOTZ ENVIRONMENTAL SERVICES INC.,239 LOTTRIDGE ST.,HAMILTON,ONTARIO,CANADA,43.2580109,-79.8313065,toluene,"WASTE FLAMMABLE LIQUID, TOXIC, NOS (CONTAINS PAINT, SOLVENT)",5744,5744,G - Gallons (liquids only),H061,45879,OHD005048947,SYSTECH CORP.,RR#2 11397 COUNTRY RD. 176,PAULDING,OH,41.1794467,-84.6049518
HOTZ ENVIRONMENTAL SERVICES INC.,239 LOTTRIDGE ST.,HAMILTON,ONTARIO,CANADA,43.2580109,-79.8313065,toluene,"WASTE FLAMMABLE LIQUID, TOXIC, NOS (CONTAINS PAINT, SOLVENT)",5005,5005,G - Gallons (liquids only),H061,45879,OHD005048947,SYSTECH CORP.,RR#2 11397 COUNTRY RD. 176,PAULDING,OH,41.1794467,-84.6049518
